time,x,y,z,vx,vy,vz,wx,wy,wz,contact,current_angle,mount_z,mount_roll,phase
2.724999999999964118e+00,4.090527941993318262e-01,9.232987647610783888e-02,6.829269520174537089e-02,5.178444211268722484e+02,3.167630137253001408e+02,1.588587229939253348e+03,5.603700435769519705e-01,1.442455796913425792e-01,-2.470395112472995258e+00,0.000000000000000000e+00,4.519999999999996732e+01,1.984866930195917090e-01,-1.102431454404784406e+00,4.000000000000000000e+00
2.749999999999963585e+00,4.230620452887556282e-01,9.593601596839129719e-02,2.854067389920484851e-03,1.236795019340491535e+03,2.800682438682993052e+02,1.671429611454781025e+03,5.603700435769546351e-01,1.442455796913383048e-01,-2.715645112472995670e+00,0.000000000000000000e+00,4.594999999999996021e+01,1.984641362877846149e-01,-1.102622934595101967e+00,4.000000000000000000e+00
2.774999999999963052e+00,4.370712963781794302e-01,9.954215546067493592e-02,-6.871581042190441635e-02,2.088367124058718218e+03,1.062758011056737814e+03,1.099904249579643420e+03,5.603700435769500832e-01,1.442455796913496846e-01,-2.960895112472995638e+00,0.000000000000000000e+00,4.669999999999995310e+01,1.984426471903515676e-01,-1.102809630591304879e+00,4.000000000000000000e+00
2.799999999999962519e+00,4.510805474676031213e-01,1.031482949529585746e-01,-1.464169382337293102e-01,2.222718282170585098e+03,2.289299647619879124e+03,1.393279308589039260e+02,5.603700435769528587e-01,1.442455796913439947e-01,-3.206145112472996050e+00,0.000000000000000000e+00,4.744999999999994600e+01,1.984224958893933410e-01,-1.102986522974583217e+00,4.000000000000000000e+00
2.824999999999961986e+00,4.650897985570272009e-01,1.067544344452420191e-01,-2.302493160455541255e-01,2.327100223341701621e+03,2.533242844164887174e+03,-1.922981305883539790e+03,5.603700435769641830e-01,1.442455796913326149e-01,-3.451395112472994242e+00,0.000000000000000000e+00,4.819999999999993889e+01,1.984039092980885710e-01,-1.103149240416000598e+00,4.000000000000000000e+00
2.849999999999961453e+00,8.061151957281318392e-01,3.512460288835902444e-01,1.530383903324073480e-01,4.234280723120241419e+03,5.929140952418548522e+02,-1.616274756438738223e+03,1.364101588684420108e+01,9.779663777534029379e+00,1.523340825511845864e+01,0.000000000000000000e+00,4.894999999999993179e+01,1.983868492315487286e-01,-1.103298317311266041e+00,4.000000000000000000e+00
2.874999999999960920e+00,1.147140592899234868e+00,5.957376233219420225e-01,5.301948467103684282e-01,7.592365755360161529e+03,1.823109900961173707e+03,-9.479971665291385818e+01,1.364101588684404120e+01,9.779663777534231883e+00,1.498815825511844935e+01,0.000000000000000000e+00,4.969999999999992468e+01,1.983709006035173916e-01,-1.103440779890751067e+00,4.000000000000000000e+00
2.899999999999960387e+00,1.488165990070334566e+00,8.402292177602957990e-01,9.012200530883316407e-01,1.061177315307725985e+04,-3.498446850766416446e+03,7.290493251402637725e+03,1.364101588684399680e+01,9.779663777534141289e+00,1.474290825511855196e+01,0.000000000000000000e+00,5.044999999999991758e+01,1.983647006710946292e-01,-1.103478890659708167e+00,4.000000000000000000e+00
2.924999999999959854e+00,1.829191387241428934e+00,1.084720812198649575e+00,1.266114009466298373e+00,8.327412854583111766e+03,-1.419708485691564420e+04,-1.577162486625288329e+04,1.364101588684372146e+01,9.779663777534141289e+00,1.449765825511842898e+01,0.000000000000000000e+00,5.119999999999991047e+01,1.983602558129942406e-01,-1.103503458062779385e+00,4.000000000000000000e+00
2.949999999999959321e+00,2.170216784412514865e+00,1.329212406637007238e+00,1.624876715844262520e+00,-1.931496244041500631e+03,-3.294331505109661521e+04,-2.069020708829770956e+04,1.364101588684337862e+01,9.779663777534505442e+00,1.425240825511875897e+01,0.000000000000000000e+00,5.194999999999990337e+01,1.983556418207347849e-01,-1.103534145201051420e+00,4.000000000000000000e+00
2.974999999999958789e+00,2.511242181583607902e+00,1.573704001075370229e+00,1.977508172222185223e+00,8.112901920569934191e+03,-6.124986080606470932e+04,-2.473228461407141367e+04,1.364101588684374278e+01,9.779663777534665314e+00,1.400715825511590573e+01,0.000000000000000000e+00,5.269999999999989626e+01,1.983510060644667894e-01,-1.103568737726901228e+00,4.000000000000000000e+00
2.999999999999958256e+00,2.852267578754702715e+00,1.818195595513718787e+00,2.324008378600036284e+00,1.636048483003995534e+04,-9.599316688010582584e+04,5.872079605040696333e+04,1.364101588684410693e+01,9.779663777532846325e+00,1.376190825511378080e+01,0.000000000000000000e+00,5.344999999999988916e+01,1.983460967544308229e-01,-1.103610333563233903e+00,4.000000000000000000e+00
3.024999999999957723e+00,3.193292975925812627e+00,2.062687189952038036e+00,2.664377334977858336e+00,-1.565781371445075783e+05,-8.742215275358446524e+04,7.477213581234472804e+04,1.364101588684701660e+01,9.779663777533027513e+00,1.351665825511129171e+01,0.000000000000000000e+00,5.419999999999988205e+01,1.983406723985366160e-01,-1.103659452961581078e+00,4.000000000000000000e+00
3.049999999999957190e+00,3.534318373096879018e+00,2.307178784390409021e+00,2.998615041355588762e+00,-5.859356814913131529e+04,-3.262461617201498011e+05,-1.846783279588434743e+04,1.364101588684265209e+01,9.779663777536301339e+00,1.327140825510661948e+01,0.000000000000000000e+00,5.494999999999987494e+01,1.983347061506456621e-01,-1.103707813179845676e+00,4.000000000000000000e+00
3.074999999999956657e+00,3.875343770267843269e+00,2.551670378828776453e+00,3.326721497733330146e+00,-4.165798739813696011e+05,-3.838302332393419929e+05,2.988907939572764371e+04,1.364101588682810018e+01,9.779663777537029645e+00,1.302615825511286474e+01,0.000000000000000000e+00,5.569999999999986784e+01,1.983290929924412249e-01,-1.103751705115761039e+00,4.000000000000000000e+00
3.099999999999956124e+00,4.216369167438691612e+00,2.796161973267493384e+00,3.648696704111201505e+00,-3.590736025085643050e+05,-7.678925008864930132e+05,4.698628733862780500e+05,1.364101588683392130e+01,9.779663777557402682e+00,1.278090825511201167e+01,0.000000000000000000e+00,5.644999999999986073e+01,1.983240146782307700e-01,-1.103790407517583505e+00,4.000000000000000000e+00
3.124999999999955591e+00,4.557394564609656307e+00,3.040653567706138372e+00,3.964540660489344504e+00,2.216955441777854867e+05,-1.082072686509002931e+06,1.233863908392221900e+06,1.364101588684556177e+01,9.779663777545760439e+00,1.253565825513098808e+01,0.000000000000000000e+00,5.719999999999985363e+01,1.983204865722018595e-01,-1.103813297369745650e+00,4.000000000000000000e+00
3.149999999999955058e+00,4.898419961780679621e+00,3.285145162145095110e+00,4.274253366868006943e+00,-7.519003967682527145e+05,-2.277385355780009180e+06,-1.501558554371027509e+06,1.364101588682227906e+01,9.779663777553036397e+00,1.229040825514123014e+01,0.000000000000000000e+00,5.794999999999984652e+01,1.983189064410053881e-01,-1.103788122606876421e+00,4.000000000000000000e+00
3.174999999999954525e+00,5.239445358950537646e+00,3.529636756584677126e+00,4.577834823246800688e+00,-3.039458312823071610e+06,-7.932627835816341685e+05,-3.675228796379829291e+06,1.364101588674078869e+01,9.779663777657809476e+00,1.204515825515002092e+01,0.000000000000000000e+00,5.869999999999983942e+01,1.983162377036106205e-01,-1.103727622951553133e+00,4.000000000000000000e+00
3.199999999999953992e+00,5.580470756120279319e+00,3.774128351023561034e+00,4.875285029627102418e+00,4.252240196155879647e+06,-1.634722230370452395e+06,-6.891250196988422424e+06,1.364101588681063681e+01,9.779663777611244058e+00,1.179990825520683018e+01,0.000000000000000000e+00,5.944999999999983231e+01,1.983126529944150840e-01,-1.103634198887649243e+00,4.000000000000000000e+00
3.224999999999953459e+00,5.921496153287286290e+00,4.018619945472689636e+00,5.166603986005680049e+00,6.097476464368630201e+06,1.210081554790313169e+07,3.952561830393024720e+06,1.364101588662437337e+01,9.779663778076905345e+00,1.155465825504827393e+01,0.000000000000000000e+00,6.019999999999982521e+01,1.983085880036960236e-01,-1.103510635247122007e+00,4.000000000000000000e+00
3.249999999999952927e+00,6.262521550456388475e+00,4.263111539921643711e+00,5.451791692385649313e+00,1.839113335874743061e+06,1.369677363013875857e+07,1.976403887724278122e+07,1.364101588690377120e+01,9.779663777995414975e+00,1.130940825536119831e+01,0.000000000000000000e+00,6.094999999999981810e+01,1.983042837062570507e-01,-1.103362403905681077e+00,4.000000000000000000e+00
3.274999999999952394e+00,6.603546947634338693e+00,4.507603134373857401e+00,5.730848148766456873e+00,-4.399437206389364292e+04,9.884453073338603135e+05,4.119699251965244859e+07,1.364101588722973624e+01,9.779663778414510844e+00,1.106415825492906535e+01,0.000000000000000000e+00,6.169999999999981100e+01,1.982998738718519949e-01,-1.103195873279914974e+00,4.000000000000000000e+00
3.299999999999951861e+00,6.944572344807630415e+00,4.752094728847260363e+00,6.003773355148917190e+00,-5.987082800912158191e+07,-3.651331923561145365e+07,-6.463308301510708407e+06,1.364101588685720756e+01,9.779663779532096868e+00,1.081890825568436831e+01,0.000000000000000000e+00,6.244999999999980389e+01,1.982954665702229557e-01,-1.103016866182939815e+00,4.000000000000000000e+00
1.000000000000000021e-02,1.499999999999999944e-01,-2.000000000000000042e-02,1.447547499999999876e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.905000000000000332e-02,0.000000000000000000e+00,6.319999999999979678e+01,2.014391895570398772e-01,-1.108955853931365754e+00,4.000000000000000000e+00
